mRNA_size	ORF_size	Fickett_score	Hexamer_score	coding_prob
1000::CHR1:629640-632616(MSTRG.577.5)	2976	543	1.1447	-0.216948423547	0.67101731095453
1000::CHR1:630756-632616(MSTRG.577.7)	1860	543	1.1447	-0.216948423547	0.684381544083181
1000::CHR1:629592-721695(MSTRG.579.1)	92103	543	1.1447	-0.216948423547	0.015154944125961
1000::CHR1:1351417-1355415(MSTRG.595.1)	3998	450	0.6392	-0.0426219180756	0.255707959661275
1000::CHR1:1386495-1398287(MSTRG.603.4)	11792	420	0.8554	0.0172605568502	0.326793097155212
1000::CHR1:1386713-1398287(MSTRG.603.9)	11574	420	0.8554	0.0172605568502	0.329428222032344
1000::CHR1:1386713-1399317(MSTRG.603.10)	12604	420	0.8554	0.0172605568502	0.317074617043624
1000::CHR1:1468523-1495830(MSTRG.607.1)	27307	1143	0.7232	-0.042994920283	0.996645174674148
1000::CHR1:1486542-1534584(MSTRG.608.7)	48042	984	0.5889	-0.0657827336854	0.898162106327631
1000::CHR1:1512370-1534584(MSTRG.608.11)	22214	984	0.5889	-0.0657827336854	0.973225100651403
1000::CHR1:1512536-1534584(MSTRG.608.14)	22048	984	0.5889	-0.0657827336854	0.973461261555563
1000::CHR1:1625087-1630589(MSTRG.611.25)	5502	489	0.6626	0.0558262679712	0.490884912318777
1000::CHR1:1297837-1309609(MSTRG.613.8)	11772	861	0.6334	0.05428091939	0.975194604973725
1000::CHR1:1297837-1307821(MSTRG.613.9)	9984	861	0.6334	0.05428091939	0.977458861761843
1000::CHR1:2228749-2309636(MSTRG.618.3)	80887	1344	0.4043	0.209743648418	0.995676129714635
1000::CHR1:1785834-1890966(MSTRG.624.20)	105132	858	0.9301	0.0941762083076	0.446168243406859
1000::CHR1:1786003-1890461(MSTRG.624.23)	104458	702	0.7915	0.0753772281938	0.0747190137402843
1000::CHR1:1786966-1890425(MSTRG.624.26)	103459	666	0.7227	0.0715704536161	0.0421033089745208
1000::CHR1:1635738-1721879(MSTRG.627.3)	86141	1569	0.5157	0.0898768805552	0.99934162424006
1000::CHR1:1661564-1737688(MSTRG.627.14)	76124	1569	0.5157	0.0898768805552	0.99961975750298
1000::CHR1:1661564-1731293(MSTRG.627.15)	69729	1569	0.5157	0.0898768805552	0.999732190569686
1000::CHR1:1663782-1679025(MSTRG.627.16)	15243	735	0.7423	0.102372302517	0.939278849351747
1000::CHR1:1698635-1699583(MSTRG.630.1)	948	210	0.8109	0.107472360305	0.110706451545281
1000::CHR1:2367391-2368923(MSTRG.639.1)	1532	240	0.9522	-0.114918443582	0.0664604702113721
1000::CHR1:2391890-2403216(MSTRG.640.6)	11326	468	0.6531	-0.215568701274	0.0936048173600414
1000::CHR1:2391890-2405432(MSTRG.640.7)	13542	468	0.6531	-0.215568701274	0.0837924774091048
1000::CHR1:2391890-2402316(MSTRG.640.8)	10426	468	0.6531	-0.215568701274	0.0978764605927339
1000::CHR1:2392103-2402316(MSTRG.640.10)	10213	468	0.6531	-0.215568701274	0.0989125368435279
1000::CHR1:2392209-2402316(MSTRG.640.11)	10107	468	0.6531	-0.215568701274	0.0994317729564039
1000::CHR1:2406518-2413797(MSTRG.641.5)	7279	822	0.5047	0.143367412239	0.972842229334678
1000::CHR1:3454740-3481113(MSTRG.642.2)	26373	1584	1.0643	0.0111469524935	0.999994885426743
1000::CHR1:3461302-3481113(MSTRG.642.3)	19811	1584	1.0643	0.0111469524935	0.999996430974225
1000::CHR1:2586833-2591463(MSTRG.643.10)	4630	333	0.4522	-0.0695156125294	0.0384257376512997
1000::CHR1:3625048-3630079(MSTRG.647.2)	5031	315	0.9579	0.280793358029	0.604868583936522
1000::CHR1:3490312-3531266(MSTRG.648.4)	40954	1095	0.5033	0.144504046078	0.991743472645959
1000::CHR1:3490312-3531266(MSTRG.648.5)	40954	1095	0.5033	0.144504046078	0.991743472645959
1000::CHR1:3492728-3531237(MSTRG.648.10)	38509	1095	0.5033	0.144504046078	0.992771886711938
1000::CHR1:5115529-5115830(MSTRG.650.1)	301	0	0	0	0.000391555210076926
1000::CHR1:3780197-3796491(MSTRG.655.2)	16294	444	0.5231	-0.0305670599196	0.105571743401327
1000::CHR1:3780197-3872330(MSTRG.655.3)	92133	741	0.4226	0.0340644783165	0.0508541577413648
1000::CHR1:6186615-6206291(MSTRG.672.10)	19676	492	0.7105	-0.138357876492	0.142665794093635
1000::CHR1:6186723-6199595(MSTRG.672.13)	12872	492	0.7105	-0.138357876492	0.194622236317586
1000::CHR1:6186723-6199553(MSTRG.672.14)	12830	492	0.7105	-0.138357876492	0.194983459062008
1000::CHR1:6221197-6235972(MSTRG.674.2)	14775	363	1.0373	-0.0234836018047	0.241550197287008
1000::CHR1:6221197-6258227(MSTRG.674.3)	37030	1089	0.9092	0.175615020662	0.998535078376968
1000::CHR1:6221898-6235877(MSTRG.674.4)	13979	363	1.0373	-0.0234836018047	0.249636178569733
1000::CHR1:6580017-6589280(MSTRG.678.3)	9263	729	1.0431	0.275849898902	0.993874819225083
1000::CHR1:5874905-5992425(MSTRG.681.8)	117520	600	0.604	0.0852034547625	0.00696103157531598
1000::CHR1:7961692-7986007(MSTRG.687.3)	24315	468	0.7886	-0.170372805807	0.0961073877066497
1000::CHR1:7961711-7996555(MSTRG.687.6)	34844	675	1.1405	-0.140965361841	0.708647911903512
1000::CHR1:7961711-7998860(MSTRG.687.7)	37149	675	1.1405	-0.140965361841	0.681883303626687
1000::CHR1:8014040-8025751(MSTRG.690.5)	11711	393	0.4699	-0.0544202224365	0.0581829999961137
1000::CHR1:9235019-9271300(MSTRG.703.2)	36281	1590	1.2148	0.453942591171	0.99999966631738
1000::CHR1:9237134-9271337(MSTRG.703.3)	34203	1590	1.2148	0.453942591171	0.999999702250972
1000::CHR1:9239844-9271299(MSTRG.703.4)	31455	1590	1.2148	0.453942591171	0.9999997438983
1000::CHR1:9302716-9369493(MSTRG.704.3)	66777	855	1.1867	0.359266942001	0.987213707005146
1000::CHR1:9315476-9369510(MSTRG.704.4)	54034	855	1.1867	0.359266942001	0.99360121480375
1000::CHR1:9316113-9369497(MSTRG.704.5)	53384	855	1.1867	0.359266942001	0.993823869810324
1000::CHR1:9347989-9369532(MSTRG.704.6)	21543	855	1.1867	0.359266942001	0.998916798870023
1000::CHR1:9074802-9108919(MSTRG.708.1)	34117	870	0.734	-0.0255778607349	0.917529301466957
1000::CHR1:9100340-9139454(MSTRG.708.3)	39114	1047	1.0134	0.227063968844	0.998657304330104
1000::CHR1:9117798-9151777(MSTRG.710.1)	33979	1047	1.0134	0.227063968844	0.99898645892086
1000::CHR1:9848312-9887215(MSTRG.714.2)	38903	495	0.8028	-0.0147776705096	0.148564060201225
1000::CHR1:8353943-8703219(MSTRG.724.6)	349276	783	1.1713	0.168563985441	1.92782606718404e-06
1000::CHR1:8354093-8703219(MSTRG.724.8)	349126	783	1.1713	0.168563985441	1.94374719481954e-06
1000::CHR1:8803726-8878686(MSTRG.732.1)	74960	483	0.6326	-0.0194196357925	0.0112943934062506
1000::CHR1:8861124-8863315(MSTRG.735.1)	2191	345	0.7414	0.0323862292887	0.208075163145328
1000::CHR1:8861182-8867205(MSTRG.735.2)	6023	345	0.7414	0.0323862292887	0.175566214824172
1000::CHR1:8863923-8867224(MSTRG.735.3)	3301	303	0.9594	0.196756600205	0.470436936099401
1000::CHR1:9651731-9730952(MSTRG.742.3)	79221	651	0.9729	0.215957575634	0.444043482319522
1000::CHR1:9672411-9687599(MSTRG.745.2)	15188	363	0.7656	0.072267334266	0.179108746994201
1000::CHR1:9729028-9823953(MSTRG.746.3)	94925	570	0.6583	-0.00650810562651	0.0118148400892167
1000::CHR1:9749488-9823953(MSTRG.746.7)	74465	498	0.5832	-0.0893781143036	0.00760021884234638
1000::CHR1:11068654-11077651(MSTRG.749.6)	8997	390	0.8751	0.152564571737	0.495966292537578
1000::CHR1:10210805-10381641(MSTRG.756.5)	170836	1323	1.1006	0.19953632882	0.931542693294958
1000::CHR1:10296581-10381864(MSTRG.756.20)	85283	1323	1.1006	0.19953632882	0.999326003925417
1000::CHR1:10358215-10399157(MSTRG.759.1)	40942	342	0.8257	0.0682395890334	0.0480288466795937
1000::CHR1:10358878-10399277(MSTRG.759.2)	40399	342	0.8257	0.0682395890334	0.049408612807683
1000::CHR1:10369959-10398916(MSTRG.759.3)	28957	276	0.7853	-0.176294252978	0.00909277871373495
1000::CHR1:10385048-10472529(MSTRG.761.1)	87481	516	0.6828	0.0830099111884	0.0180780020291161
1000::CHR1:10453654-10472488(MSTRG.761.2)	18834	270	0.6819	0.00232353774508	0.030010278996924
1000::CHR1:10456522-10501591(MSTRG.761.3)	45069	537	0.4399	-0.247983539623	0.0136503623574527
1000::CHR1:10456535-10472479(MSTRG.761.5)	15944	270	0.6819	0.00232353774508	0.0349830122655539
1000::CHR1:10399064-10451659(MSTRG.763.3)	52595	516	0.6828	0.0830099111884	0.110861428097363
1000::CHR1:10399073-10419808(MSTRG.763.5)	20735	435	0.8207	-0.278342366081	0.0493278117047934
1000::CHR1:10419666-10420257(MSTRG.764.1)	591	165	0.8962	-0.143222689621	0.0219957370838903
1000::CHR1:11654881-11663307(MSTRG.779.5)	8426	567	0.7988	0.1099635217	0.813646841710306
1000::CHR1:11919591-11925737(MSTRG.783.1)	6146	471	1.2952	0.20692749818	0.943982686500037
1000::CHR1:11919625-11925661(MSTRG.783.3)	6036	471	1.2952	0.20692749818	0.944300772549445
1000::CHR1:11919633-11926402(MSTRG.783.4)	6769	891	1.0788	0.308848449957	0.999365276753222
1000::CHR1:11929117-11975537(MSTRG.784.1)	46420	735	0.6195	-0.151151420823	0.282434257602023
1000::CHR1:11785730-11805954(MSTRG.790.3)	20224	801	0.4631	0.0427072610471	0.867563780143671
1000::CHR1:11806263-11847684(MSTRG.791.6)	41421	651	0.5652	0.0474717799722	0.358938433784654
1000::CHR1:12567910-12628421(MSTRG.794.1)	60511	1218	0.6111	-0.049047091965	0.986471148918677
1000::CHR1:12578718-12616696(MSTRG.794.4)	37978	1218	0.6111	-0.049047091965	0.996029254392812
1000::CHR1:12612074-12619968(MSTRG.794.7)	7894	552	0.6314	-0.111687370591	0.357355845070541
1000::CHR1:15409929-15430339(MSTRG.800.2)	20410	876	0.5243	-0.0473610749769	0.914735960025854
1000::CHR1:12311526-12510346(MSTRG.801.8)	198820	648	0.3797	-0.149936287354	1.53973006314463e-05
1000::CHR1:15684541-15734767(MSTRG.814.3)	50226	882	0.5041	-0.160277143278	0.512577717944199
1000::CHR1:15684556-15734769(MSTRG.814.5)	50213	882	0.5041	-0.160277143278	0.512755805227872
1000::CHR1:15510118-15585051(MSTRG.821.1)	74933	891	0.9491	0.120596586251	0.884393016826363
1000::CHR1:15518872-15585051(MSTRG.821.2)	66179	891	0.9491	0.120596586251	0.925165816075794
1000::CHR1:15780501-15785329(MSTRG.826.16)	4828	357	0.7949	-0.0162667181668	0.18881639383562
1000::CHR1:15788362-15800458(MSTRG.827.1)	12096	513	1.0364	0.137090896827	0.839184643696785
1000::CHR1:15788362-15800350(MSTRG.827.2)	11988	513	1.0364	0.137090896827	0.83998220571413
1000::CHR1:15788853-15800467(MSTRG.827.3)	11614	513	1.0364	0.137090896827	0.842719401328393
1000::CHR1:15791947-15800300(MSTRG.827.4)	8353	513	1.0364	0.137090896827	0.864994470752119
1000::CHR1:16124340-16167735(MSTRG.831.2)	43395	804	1.2887	0.219438200278	0.989657436116173
1000::CHR1:15873502-15971901(MSTRG.839.4)	98399	8364	1.0857	0.255735090482	1
1000::CHR1:16034828-16035061(MSTRG.845.1)	233	102	1.1561	0.13635347046	0.13154080594562
1000::CHR1:16035389-16073547(MSTRG.846.2)	38158	831	0.6469	-0.00108184806481	0.831982540326975
1000::CHR1:16683579-16684395(MSTRG.855.1)	816	75	0.8008	0.0332032432144	0.0167549519271156
1000::CHR1:16535647-16536198(MSTRG.862.1)	551	363	0.9037	-0.0499335080916	0.271836189727039
1000::CHR1:16562359-16608650(MSTRG.864.2)	46291	483	0.6256	-0.172251343763	0.0208019450547831
1000::CHR1:16562359-16608650(MSTRG.864.3)	46291	483	0.6256	-0.172251343763	0.0208019450547831
1000::CHR1:16562465-16608650(MSTRG.864.4)	46185	483	0.6256	-0.172251343763	0.020920663652646
1000::CHR1:16563855-16608650(MSTRG.864.5)	44795	483	0.6256	-0.172251343763	0.02254013269032
1000::CHR1:16563856-16608650(MSTRG.864.6)	44794	483	0.6256	-0.172251343763	0.0225413407687796
1000::CHR1:16566360-16608650(MSTRG.864.8)	42290	483	0.6256	-0.172251343763	0.0257732364186065
1000::CHR1:16569672-16625299(MSTRG.865.1)	55627	747	0.5247	0.165935683035	0.57306902172252
1000::CHR1:16576267-16589108(MSTRG.866.1)	12841	378	0.7472	-0.060335282988	0.109682486837318
1000::CHR1:16582544-16589108(MSTRG.866.2)	6564	378	0.7472	-0.060335282988	0.148070846854947
1000::CHR1:16592179-16593580(MSTRG.867.1)	1401	156	0.7626	-0.247027386326	0.00649487102283689
1000::CHR1:16618253-16643109(MSTRG.869.1)	24856	594	1.1298	-0.0368781728646	0.754917423315951
1000::CHR1:16618273-16643109(MSTRG.869.5)	24836	594	1.1298	-0.0368781728646	0.755120261081015
1000::CHR1:16618273-16644672(MSTRG.869.6)	26399	594	1.1298	-0.0368781728646	0.738928820084243
1000::CHR1:17233292-17245968(MSTRG.873.3)	12676	780	1.0309	0.143275192234	0.990301969157641
1000::CHR1:17251771-17284125(MSTRG.874.2)	32354	492	0.5577	-0.127239115426	0.0498439189884977
1000::CHR1:16985981-17005072(MSTRG.879.5)	19091	663	0.8867	0.0780272462988	0.888186120397644
1000::CHR1:16872249-16873450(MSTRG.888.1)	1201	201	0.7668	0.123153223767	0.0949214276917028
1000::CHR1:17407063-17407792(MSTRG.895.2)	729	108	0.8733	-0.11143870162	0.0130477786233282
1000::CHR1:17580435-17697860(MSTRG.899.2)	117425	606	0.663	0.0121253674977	0.00589240414566637
1000::CHR1:18908340-18956481(MSTRG.900.3)	48141	1077	0.4456	-0.00287982947555	0.956882003230027
1000::CHR1:19251805-19295201(MSTRG.904.1)	43396	645	0.6457	0.266833153364	0.701248292918967
1000::CHR1:19251835-19260128(MSTRG.904.3)	8293	357	0.6927	-0.209807404211	0.0401378949465459
1000::CHR1:19294070-19299168(MSTRG.908.1)	5098	351	0.7901	-0.446546670063	0.0152583178852603
1000::CHR1:19312341-19328081(MSTRG.912.4)	15740	417	0.6884	0.00867103057983	0.16790283919816
1000::CHR1:20483187-20486210(MSTRG.916.2)	3023	351	0.5941	0.0531213713233	0.1548573115312
1000::CHR1:20719742-20732086(MSTRG.921.4)	12344	828	0.7156	0.0952759898881	0.978185857944837
1000::CHR1:19339137-19485537(MSTRG.923.4)	146400	609	0.699	0.104477576904	0.00247549239197276
1000::CHR1:19374269-19485537(MSTRG.923.17)	111268	570	0.7723	-0.0466896408657	0.00563293050985458
1000::CHR1:19597052-19626623(MSTRG.925.11)	29571	513	1.2091	0.228519429691	0.863437257588552
1000::CHR1:19643232-19658452(MSTRG.925.18)	15220	516	0.619	-0.0595465323112	0.246446643690674
1000::CHR1:19644260-19658452(MSTRG.925.24)	14192	516	0.619	-0.0595465323112	0.257063439248171
1000::CHR1:20742682-20786283(MSTRG.932.3)	43601	399	0.5604	-0.150508837456	0.00869060860080064
1000::CHR1:20742682-20787312(MSTRG.932.4)	44630	867	0.5973	0.143714636008	0.913356342540116
1000::CHR1:20742682-20786666(MSTRG.932.5)	43984	762	0.554	0.163218437216	0.765866190277142
1000::CHR1:20754072-20786652(MSTRG.932.10)	32580	747	0.554	0.163089831219	0.837781471509635
1000::CHR1:21233570-21290463(MSTRG.933.9)	56893	726	0.8816	0.0584909240903	0.638373970401203
1000::CHR1:20807319-21176819(MSTRG.936.12)	369500	1041	0.7041	0.00740942120353	8.56838931181255e-07
1000::CHR1:21467173-21468565(MSTRG.945.1)	1392	291	0.4749	-0.102257896169	0.0257652063991546
1000::CHR1:21596221-21651836(MSTRG.946.1)	55615	996	0.4924	-0.0102806245953	0.869906811767815
1000::CHR1:21596221-21651836(MSTRG.946.2)	55615	996	0.4924	-0.0102806245953	0.869906811767815
1000::CHR1:21596221-21622446(MSTRG.946.3)	26225	651	0.9524	0.0460224931367	0.829089893824715
1000::CHR1:21597008-21622529(MSTRG.946.10)	25521	651	0.9524	0.0460224931367	0.834490405799447
1000::CHR1:21679199-21783606(MSTRG.947.4)	104407	606	0.5626	0.118226010319	0.0160378539037684
1000::CHR1:21679199-21782943(MSTRG.947.5)	103744	426	0.4575	-0.198936060484	0.000229124989777582
1000::CHR1:21728612-21783226(MSTRG.947.14)	54614	606	0.5626	0.118226010319	0.199979608950633
1000::CHR1:21822245-21874706(MSTRG.950.2)	52461	732	0.4763	-0.14880699272	0.144720254395204
1000::CHR1:22710970-22791721(MSTRG.954.4)	80751	696	1.092	0.605034029262	0.95103166131045
1000::CHR1:22710970-22921484(MSTRG.954.5)	210514	696	1.092	0.605034029262	0.0155396668712388
1000::CHR1:22710970-22921484(MSTRG.954.6)	210514	696	1.092	0.605034029262	0.0155396668712388
1000::CHR1:23191895-23217561(MSTRG.959.1)	25666	825	0.5136	0.0468063028177	0.885812128489589
1000::CHR1:23191895-23217564(MSTRG.959.2)	25669	828	0.5136	0.0478420026197	0.889765071421241
1000::CHR1:23192034-23217533(MSTRG.959.4)	25499	798	0.5241	0.0509792766714	0.860237461537892
1000::CHR1:23193014-23217362(MSTRG.959.5)	24348	627	0.4668	0.0416076693082	0.42870558013441
1000::CHR1:22025511-22030748(MSTRG.960.15)	5237	279	0.4437	-0.117590972998	0.0150931744795203
1000::CHR1:22025511-22031023(MSTRG.960.16)	5512	279	0.4437	-0.117590972998	0.0148706566849597
1000::CHR1:22025511-22030748(MSTRG.960.17)	5237	279	0.4437	-0.117590972998	0.0150931744795203
1000::CHR1:22052710-22092273(MSTRG.960.38)	39563	414	0.5156	-0.340358798438	0.00349105919258527
1000::CHR1:22078470-22092273(MSTRG.960.53)	13803	363	0.7702	-0.116956812115	0.0705111780987311
1000::CHR1:22078470-22092946(MSTRG.960.54)	14476	363	0.7702	-0.116956812115	0.0681306790646881
1000::CHR1:22078470-22092917(MSTRG.960.55)	14447	363	0.7702	-0.116956812115	0.0682317025496547
1000::CHR1:23303963-23344281(MSTRG.968.2)	40318	495	0.9461	-0.0969835836263	0.138433397061206
1000::CHR1:23019769-23083676(MSTRG.972.27)	63907	339	0.8456	-0.216254329181	0.00263223679836595
1000::CHR1:23019769-23083577(MSTRG.972.28)	63808	339	0.8456	-0.216254329181	0.00264652629386081
1000::CHR1:23084030-23168845(MSTRG.973.2)	84815	795	0.5867	0.0754781008542	0.248951254435008
1000::CHR1:23691821-23696412(MSTRG.981.4)	4591	207	0.7728	-0.359497052036	0.00505708336456805
1000::CHR1:23557062-23559501(MSTRG.982.1)	2439	252	0.6481	-0.133391710475	0.0237012858035363
1000::CHR1:23795661-23800770(MSTRG.991.5)	5109	438	0.6027	0.0261312872888	0.274446777264479
1000::CHR1:23959828-23972396(MSTRG.992.3)	12568	420	0.854	-0.0944000628046	0.190357634746651
1000::CHR1:23964841-23980271(MSTRG.993.3)	15430	291	0.6135	0.0452116453766	0.0461026667947362
1000::CHR1:23964883-24048270(MSTRG.993.4)	83387	684	0.6055	0.0150359994095	0.0711118428723669
1000::CHR1:23967301-23980271(MSTRG.993.8)	12970	291	0.6135	0.0452116453766	0.0524112017601166
1000::CHR1:23971369-23980331(MSTRG.993.16)	8962	291	0.6135	0.0452116453766	0.0644625617743451
1000::CHR1:24503053-24536800(MSTRG.999.6)	33747	375	0.4376	-0.123914487874	0.008776046766994
1000::CHR1:24842966-24843290(MSTRG.1010.1)	324	78	0.8546	-0.32107893234	0.00253240968864663
1000::CHR1:25538254-25568884(MSTRG.1018.1)	30630	804	0.7365	0.117195326066	0.939177649317181
1000::CHR1:25543625-25567570(MSTRG.1018.3)	23945	477	0.7913	-0.135614688445	0.130104257623733
1000::CHR1:25242255-25247446(MSTRG.1025.4)	5191	213	0.4512	-0.285917422198	0.00270545630647174
1000::CHR1:25242291-25247446(MSTRG.1025.10)	5155	213	0.4512	-0.285917422198	0.00271078746033877
1000::CHR1:25242291-25267915(MSTRG.1025.11)	25624	393	0.6207	-0.0609968025659	0.0444823533994381
1000::CHR1:26234202-26278807(MSTRG.1035.3)	44605	678	0.7995	0.0743846903489	0.626797043531638
1000::CHR1:26282292-26306609(MSTRG.1043.10)	24317	837	0.5358	-0.0574070067524	0.845666995040202
1000::CHR1:26953005-27000886(MSTRG.1051.1)	47881	684	1.0862	0.467037537178	0.977621663110499
1000::CHR1:26993698-27000886(MSTRG.1051.3)	7188	684	1.0862	0.467037537178	0.997547712093213
1000::CHR1:26876145-26882235(MSTRG.1056.2)	6090	291	0.7182	-0.112357586326	0.0425816905885489
1000::CHR1:27404230-27484581(MSTRG.1068.1)	80351	360	0.916	0.120939329347	0.0131886521979184
1000::CHR1:26462060-26538223(MSTRG.1072.1)	76163	1071	0.4669	-0.0349162392534	0.798210873795183
1000::CHR1:27642803-27672192(MSTRG.1077.1)	29389	606	0.6022	-0.12484629883	0.207210138916036
1000::CHR1:27976488-27976743(MSTRG.1096.1)	255	6	0.3299	-2.90185301361	2.94782973590715e-11
1000::CHR1:28369739-28500362(MSTRG.1106.4)	130623	666	0.63	-0.254928694821	0.000991905845125422
1000::CHR1:28478533-28500363(MSTRG.1106.10)	21830	303	0.5438	-0.107425402117	0.0119752812758916
1000::CHR1:28541475-28544314(MSTRG.1110.1)	2839	141	0.6711	-0.0580682518153	0.0115934835496546
1000::CHR1:28506043-28510892(MSTRG.1112.6)	4849	258	1.0641	-0.184322011095	0.0654797497914023
1000::CHR1:28506057-28509633(MSTRG.1112.9)	3576	258	1.0641	-0.184322011095	0.0698827283992763
1000::CHR1:28506057-28508762(MSTRG.1112.10)	2705	258	1.0641	-0.184322011095	0.0730514479621861
1000::CHR1:28518136-28539196(MSTRG.1112.16)	21060	489	0.7132	-0.00382608578684	0.254057182751048
1000::CHR1:28736321-28769775(MSTRG.1124.1)	33454	1662	1.0466	0.120756416724	0.99999827783458
1000::CHR1:29147853-29181880(MSTRG.1125.3)	34027	495	1.2757	-0.189782899309	0.286925308939201
1000::CHR1:29148671-29181880(MSTRG.1125.5)	33209	360	0.7355	-0.236599931233	0.0107490889683988
1000::CHR1:29154697-29181880(MSTRG.1125.8)	27183	360	0.7355	-0.236599931233	0.0148951310540627
1000::CHR1:29148679-29149038(MSTRG.1126.1)	359	24	1.2109	-0.253760710397	0.00706594541823335
1000::CHR1:30869580-30908533(MSTRG.1129.3)	38953	900	0.5383	-0.00831857239577	0.871000598272562
1000::CHR1:29236516-29326799(MSTRG.1130.2)	90283	702	0.5983	0.0552454281987	0.0739671948385826
1000::CHR1:29271988-29304040(MSTRG.1130.7)	32052	450	1.1751	0.344048275604	0.83021128986273
1000::CHR1:29271989-29304040(MSTRG.1130.8)	32051	450	1.1751	0.344048275604	0.830219018767358
1000::CHR1:28987511-29120038(MSTRG.1132.28)	132527	408	0.7289	-0.0727724185242	0.000211844646743177
1000::CHR1:28987511-29117121(MSTRG.1132.29)	129610	399	0.8817	-0.175880963788	0.000203598590342807
1000::CHR1:29058604-29119971(MSTRG.1132.37)	61367	408	0.7289	-0.0727724185242	0.0103778266634231
1000::CHR1:31297032-31348968(MSTRG.1139.8)	51936	459	0.7153	-0.208887150031	0.0128329570672952
1000::CHR1:30933080-30982145(MSTRG.1142.9)	49065	531	0.6653	-0.117061679065	0.0476515644016183
1000::CHR1:30933080-30980133(MSTRG.1142.10)	47053	531	0.6653	-0.117061679065	0.0529153515026219
1000::CHR1:30936722-31065695(MSTRG.1142.13)	128973	612	0.4057	-0.274314443758	0.000243683010606647
1000::CHR1:30966147-31065684(MSTRG.1142.19)	99537	612	0.4057	-0.274314443758	0.00122280404765414
1000::CHR1:32013868-32074780(MSTRG.1147.1)	60912	609	0.9352	0.317361466177	0.688826442000609
1000::CHR1:31652588-31666681(MSTRG.1155.3)	14093	1125	0.7111	0.079759145609	0.999013489634579
1000::CHR1:31906421-31937775(MSTRG.1158.1)	31354	609	0.4529	-0.0859075911566	0.155201172772382
1000::CHR1:31906423-31937785(MSTRG.1158.4)	31362	621	0.4529	-0.0893364049137	0.170601796852846
1000::CHR1:31908209-31937886(MSTRG.1158.5)	29677	720	0.4606	-0.0624722596453	0.452191122686969
1000::CHR1:31908658-31919172(MSTRG.1158.9)	10514	318	0.7084	-0.222875580108	0.0228039275436247
1000::CHR1:31908708-31942576(MSTRG.1158.11)	33868	918	0.9116	0.116246461492	0.988257818711122
1000::CHR1:31919260-31938340(MSTRG.1158.23)	19080	849	0.4777	-0.0395337327182	0.883972386554829
1000::CHR1:32361480-32394441(MSTRG.1161.4)	32961	582	1.17	0.423729454698	0.970113965870003
